year,month,month_conversion,shopee_region,english_product_category,partner_type,conversion_count,usd_sale_amount,usd_revenue,usd_payout,usd_avg_sale_per_conv,myr_avg_sale_per_conv,%_revenue_per_sale,%_payout_per_sale,%_payout_per_revenue
2023,11,2023-11-01,Shopee Vietnam,Home Appliances,Content,35,754.39,14.5,13.07,22,102,1.92,1.73,90.14
2023,10,2023-10-01,Shopee Malaysia,Health,Paid Traffic,10381,111069.07,3751.26,2627.3,11,50,3.38,2.37,70.04
2023,10,2023-10-01,Shopee Indonesia,Women Clothes,Others,538,2215.8,69.69,48.62,4,19,3.15,2.19,69.77
2023,12,2023-12-01,Shopee Thailand,Automobiles,Coupons,110,890.46,31.46,21.98,8,38,3.53,2.47,69.87
2023,12,2023-12-01,Shopee Vietnam,Computers & Accessories,Content,10,102.83,0.62,0.58,10,48,0.6,0.56,93.55
2023,9,2023-09-01,Shopee Philippines,Automobiles,Content,536,3646.88,70.96,61.24,7,32,1.95,1.68,86.3
2023,10,2023-10-01,Shopee Philippines,Women Clothes,Paid Traffic,3786,9405.31,270.33,206.81,2,12,2.87,2.2,76.5
2023,10,2023-10-01,Shopee Taiwan,Automobiles,Coupons,55,327.48,0.53,0.37,6,28,0.16,0.11,69.81
2023,10,2023-10-01,Shopee Vietnam,Computers & Accessories,Comparison,257,4971.99,58.55,52.69,19,91,1.18,1.06,89.99
2023,11,2023-11-01,Shopee Vietnam,Home & Living,Social,39,434.91,4.55,4.06,11,53,1.05,0.93,89.23
2023,9,2023-09-01,Shopee Taiwan,Men Clothes,Content,255,2566.52,22.95,16.06,10,47,0.89,0.63,69.98
2023,11,2023-11-01,Shopee Malaysia,Automobiles,Paid Traffic,10709,103312.52,3184.03,2229.64,10,45,3.08,2.16,70.03
2023,12,2023-12-01,Shopee Thailand,Home Appliances,Social,118,5670.73,121.74,85.2,48,226,2.15,1.5,69.99
2023,9,2023-09-01,Shopee Singapore,Health,Others,81,2485.74,155.14,108.62,31,145,6.24,4.37,70.01
2023,9,2023-09-01,Shopee Vietnam,Health,Rewards,1,5.03,0.15,0.14,5,24,2.98,2.78,93.33
2023,11,2023-11-01,Shopee Vietnam,Hobbies & Collections,Others,106,244.47,7.49,6.8,2,11,3.06,2.78,90.79
2023,10,2023-10-01,Shopee Singapore,Mobile & Gadgets,Coupons,666,21411.46,255.4,179,32,151,1.19,0.84,70.09
2023,12,2023-12-01,Shopee Philippines,Men Shoes,Comparison,31,258.44,12.21,9.75,8,39,4.72,3.77,79.85
2023,12,2023-12-01,Shopee Malaysia,Pets,Content,933,7153.49,236.29,165.11,8,36,3.3,2.31,69.88
2023,12,2023-12-01,Shopee Indonesia,Home Appliances,Others,106,1091.15,25.49,17.84,10,48,2.34,1.63,69.99
2023,11,2023-11-01,Shopee Singapore,Health,Rewards,203,6259.58,277.69,200.9,31,145,4.44,3.21,72.35
2023,11,2023-11-01,Shopee Malaysia,Cameras & Drones,Coupons,54,1562.27,58.92,41.25,29,136,3.77,2.64,70.01
2023,9,2023-09-01,Shopee Taiwan,Stationery,Sub-Network,11472,42336.06,150.95,106.61,4,17,0.36,0.25,70.63
